# Figura 3: Modelo Bifásico de Degradação
# t(dias),Mn(kg/mol),Mn/Mn0,Xc_aparente,Fase
125,115.76,0.6431,0.657,Fase1_Amorfa
126,115.48,0.6416,0.658,Fase1_Amorfa
127,115.20,0.6400,0.658,Fase1_Amorfa
128,114.93,0.6385,0.658,Fase1_Amorfa
129,114.65,0.6370,0.659,Fase1_Amorfa
130,114.38,0.6354,0.659,Fase1_Amorfa
131,114.11,0.6339,0.660,Fase1_Amorfa
132,113.84,0.6325,0.660,Fase1_Amorfa
133,113.58,0.6310,0.661,Fase1_Amorfa
134,113.31,0.6295,0.661,Fase1_Amorfa
135,113.05,0.6281,0.662,Fase1_Amorfa
136,112.79,0.6266,0.662,Fase1_Amorfa
137,112.54,0.6252,0.662,Fase1_Amorfa
138,112.23,0.6235,0.663,Fase2_Cristalina
139,111.87,0.6215,0.664,Fase2_Cristalina
140,111.52,0.6195,0.664,Fase2_Cristalina
141,111.16,0.6176,0.665,Fase2_Cristalina
142,110.80,0.6156,0.665,Fase2_Cristalina
143,110.45,0.6136,0.666,Fase2_Cristalina
144,110.09,0.6116,0.667,Fase2_Cristalina
145,109.74,0.6097,0.667,Fase2_Cristalina
146,109.39,0.6077,0.668,Fase2_Cristalina
147,109.03,0.6057,0.668,Fase2_Cristalina
148,108.68,0.6038,0.669,Fase2_Cristalina
149,108.33,0.6018,0.669,Fase2_Cristalina
150,107.98,0.5999,0.670,Fase2_Cristalina
151,107.63,0.5979,0.671,Fase2_Cristalina
152,107.28,0.5960,0.671,Fase2_Cristalina
153,106.93,0.5941,0.672,Fase2_Cristalina
154,106.58,0.5921,0.672,Fase2_Cristalina
155,106.23,0.5902,0.673,Fase2_Cristalina
156,105.89,0.5883,0.674,Fase2_Cristalina
157,105.54,0.5863,0.674,Fase2_Cristalina
158,105.20,0.5844,0.675,Fase2_Cristalina
159,104.85,0.5825,0.675,Fase2_Cristalina
160,104.51,0.5806,0.676,Fase2_Cristalina
161,104.16,0.5787,0.676,Fase2_Cristalina
162,103.82,0.5768,0.677,Fase2_Cristalina
163,103.48,0.5749,0.678,Fase2_Cristalina
164,103.14,0.5730,0.678,Fase2_Cristalina
165,102.80,0.5711,0.679,Fase2_Cristalina
166,102.46,0.5692,0.679,Fase2_Cristalina
167,102.12,0.5673,0.680,Fase2_Cristalina
168,101.78,0.5654,0.680,Fase2_Cristalina
169,101.44,0.5636,0.681,Fase2_Cristalina
170,101.10,0.5617,0.681,Fase2_Cristalina
171,100.77,0.5598,0.682,Fase2_Cristalina
172,100.43,0.5579,0.683,Fase2_Cristalina
173,100.10,0.5561,0.683,Fase2_Cristalina
174,99.76,0.5542,0.684,Fase2_Cristalina
175,99.43,0.5524,0.684,Fase2_Cristalina
176,99.09,0.5505,0.685,Fase2_Cristalina
177,98.76,0.5487,0.685,Fase2_Cristalina
178,98.43,0.5468,0.686,Fase2_Cristalina
179,98.10,0.5450,0.687,Fase2_Cristalina
180,97.77,0.5431,0.687,Fase2_Cristalina
181,97.44,0.5413,0.688,Fase2_Cristalina
182,97.11,0.5395,0.688,Fase2_Cristalina
183,96.78,0.5377,0.689,Fase2_Cristalina
184,96.45,0.5358,0.689,Fase2_Cristalina
185,96.12,0.5340,0.690,Fase2_Cristalina
186,95.80,0.5322,0.690,Fase2_Cristalina
187,95.47,0.5304,0.691,Fase2_Cristalina
188,95.15,0.5286,0.691,Fase2_Cristalina
189,94.82,0.5268,0.692,Fase2_Cristalina
190,94.50,0.5250,0.693,Fase2_Cristalina
191,94.17,0.5232,0.693,Fase2_Cristalina
192,93.85,0.5214,0.694,Fase2_Cristalina
193,93.53,0.5196,0.694,Fase2_Cristalina
194,93.21,0.5178,0.695,Fase2_Cristalina
195,92.89,0.5160,0.695,Fase2_Cristalina
196,92.57,0.5143,0.696,Fase2_Cristalina
197,92.25,0.5125,0.696,Fase2_Cristalina
198,91.93,0.5107,0.697,Fase2_Cristalina
199,91.61,0.5089,0.697,Fase2_Cristalina
200,91.29,0.5072,0.698,Fase2_Cristalina
201,90.98,0.5054,0.698,Fase2_Cristalina
202,90.66,0.5037,0.699,Fase2_Cristalina
203,90.35,0.5019,0.699,Fase2_Cristalina
204,90.03,0.5002,0.700,Fase2_Cristalina
205,89.72,0.4984,0.700,Fase2_Cristalina
206,89.40,0.4967,0.700,Fase2_Cristalina
207,89.09,0.4950,0.700,Fase2_Cristalina
