# Figura 5: Evolução da Integração Scaffold-Tecido
# t(dias),Mn/Mn0,porosity,cell_density,ecm_fraction,integration_score
104,0.4833,0.9500,3656.8,0.0019,0.2045
105,0.4796,0.9500,3686.7,0.0020,0.2047
106,0.4760,0.9500,3716.4,0.0020,0.2049
107,0.4723,0.9500,3745.9,0.0020,0.2051
108,0.4688,0.9500,3775.2,0.0021,0.2053
109,0.4652,0.9500,3804.3,0.0021,0.2054
110,0.4617,0.9500,3833.3,0.0022,0.2056
111,0.4582,0.9500,3862.1,0.0022,0.2058
112,0.4547,0.9500,3890.7,0.0022,0.2060
113,0.4512,0.9500,3919.2,0.0023,0.2062
114,0.4478,0.9500,3947.5,0.0023,0.2063
115,0.4444,0.9500,3975.6,0.0024,0.2065
116,0.4410,0.9500,4003.5,0.0024,0.2067
117,0.4377,0.9500,4031.3,0.0024,0.2069
118,0.4343,0.9500,4058.9,0.0025,0.2071
119,0.4310,0.9500,4086.3,0.0025,0.2073
120,0.4277,0.9500,4113.6,0.0026,0.2074
121,0.4245,0.9500,4140.7,0.0026,0.2076
122,0.4213,0.9500,4167.6,0.0026,0.2078
123,0.4181,0.9500,4194.4,0.0027,0.2080
124,0.4149,0.9500,4221.0,0.0027,0.2082
125,0.4117,0.9500,4247.4,0.0028,0.2084
126,0.4086,0.9500,4273.7,0.0028,0.2086
127,0.4055,0.9500,4299.9,0.0029,0.2087
128,0.4024,0.9500,4325.8,0.0029,0.2089
129,0.3993,0.9500,4351.6,0.0030,0.2091
130,0.3963,0.9500,4377.3,0.0030,0.2093
131,0.3932,0.9500,4402.8,0.0030,0.2095
132,0.3902,0.9500,4428.1,0.0031,0.2097
133,0.3873,0.9500,4453.3,0.0031,0.2099
134,0.3843,0.9500,4478.4,0.0032,0.2101
135,0.3814,0.9500,4503.2,0.0032,0.2102
136,0.3785,0.9500,4528.0,0.0033,0.2104
137,0.3756,0.9500,4552.6,0.0033,0.2106
138,0.3727,0.9500,4577.0,0.0034,0.2108
139,0.3699,0.9500,4601.3,0.0034,0.2110
140,0.3671,0.9500,4625.4,0.0035,0.2112
141,0.3643,0.9500,4649.4,0.0035,0.2114
142,0.3615,0.9500,4673.2,0.0035,0.2116
143,0.3587,0.9500,4696.9,0.0036,0.2118
144,0.3560,0.9500,4720.5,0.0036,0.2120
145,0.3533,0.9500,4743.9,0.0037,0.2121
146,0.3506,0.9500,4767.2,0.0037,0.2123
147,0.3479,0.9500,4790.3,0.0038,0.2125
148,0.3452,0.9500,4813.3,0.0038,0.2127
149,0.3426,0.9500,4836.2,0.0039,0.2129
150,0.3400,0.9500,4858.9,0.0039,0.2131
151,0.3374,0.9500,4881.4,0.0040,0.2133
152,0.3348,0.9500,4903.9,0.0040,0.2135
153,0.3322,0.9500,4926.2,0.0041,0.2137
154,0.3297,0.9500,4948.3,0.0041,0.2139
155,0.3272,0.9500,4970.4,0.0042,0.2141
156,0.3247,0.9500,4992.2,0.0042,0.2143
157,0.3222,0.9500,5014.0,0.0043,0.2145
158,0.3197,0.9500,5035.6,0.0043,0.2147
159,0.3173,0.9500,5057.1,0.0044,0.2149
160,0.3148,0.9500,5078.5,0.0044,0.2151
161,0.3124,0.9500,5099.7,0.0045,0.2153
162,0.3100,0.9500,5120.8,0.0045,0.2155
163,0.3077,0.9500,5141.8,0.0046,0.2156
164,0.3053,0.9500,5162.7,0.0047,0.2158
165,0.3030,0.9500,5183.4,0.0047,0.2160
166,0.3006,0.9500,5204.0,0.0048,0.2162
167,0.2983,0.9500,5224.5,0.0048,0.2164
168,0.2961,0.9500,5244.8,0.0049,0.2166
169,0.2938,0.9500,5265.0,0.0049,0.2168
170,0.2915,0.9500,5285.1,0.0050,0.2170
171,0.2893,0.9500,5305.1,0.0050,0.2172
172,0.2871,0.9500,5325.0,0.0051,0.2174
173,0.2849,0.9500,5344.7,0.0051,0.2176
174,0.2827,0.9500,5364.3,0.0052,0.2178
175,0.2805,0.9500,5383.8,0.0052,0.2180
176,0.2784,0.9500,5403.2,0.0053,0.2182
177,0.2762,0.9500,5422.4,0.0054,0.2184
178,0.2741,0.9500,5441.6,0.0054,0.2186
179,0.2720,0.9500,5460.6,0.0055,0.2189
180,0.2699,0.9500,5479.5,0.0055,0.2191
